Quantify Compound Summary Report 

Printed Mon Mar 17 08:47:11 2025

Compound 1:  6-hydroxiflavone

	#	Name	Sample Text	Type	RT	Area	Std. Conc	pg on column
4	4	synapt_cvb_quat_LCMS_004	mix_4	Standard	2.09	484.522	75.000	53.41
5	5	synapt_cvb_quat_LCMS_005	mix_5	Standard	2.09	1157.071	125.000	118.23
6	6	synapt_cvb_quat_LCMS_006	mix_6	Standard	2.09	2653.580	250.000	262.48
7	7	synapt_cvb_quat_LCMS_007	mix_7	Standard	2.09	4976.996	500.000	486.42
8	8	synapt_cvb_quat_LCMS_008	mix_8	Standard	2.12	8067.516	750.000	784.31
9	9	synapt_cvb_quat_LCMS_009	vial 1 quaternary	Analyte				
10	10	synapt_cvb_quat_LCMS_010	vial 2 quaternary	Analyte				
11	11	synapt_cvb_quat_LCMS_011	vial 3 quaternary	Analyte	2.09	987.468		101.88
12	12	synapt_cvb_quat_LCMS_012	vial 4 quaternary	Analyte	2.08	995.014		102.61
13	13	synapt_cvb_quat_LCMS_013	vial 5 quaternary	Analyte	2.08	943.146		97.61
14	14	synapt_cvb_quat_LCMS_014	vial 6 quaternary	Analyte	2.09	909.803		94.40
15	15	synapt_cvb_quat_LCMS_015	vial 7 quaternary	Analyte	2.09	860.932		89.69
16	16	synapt_cvb_quat_LCMS_016	vial 8 quaternary	Analyte	2.09	1330.055		134.91
17	17	synapt_cvb_quat_LCMS_017	vial 9 quaternary	Analyte	2.09	1255.216		127.69
18	18	synapt_cvb_quat_LCMS_018	vial 10 quaternary	Analyte				

Compound 6:  4-hydroxychalcone

	#	Name	Sample Text	Type	RT	Area	Std. Conc	pg on column
1	1	synapt_cvb_quat_LCMS_001	mix_1	Standard	4.51	221.526	7.000	4.58
2	2	synapt_cvb_quat_LCMS_002	mix_2	Standard	4.51	679.789	15.000	14.88
3	3	synapt_cvb_quat_LCMS_003	mix_3	Standard	4.51	1636.921	30.000	36.40
4	4	synapt_cvb_quat_LCMS_004	mix_4	Standard	4.51	3359.665	75.000	75.14
5	5	synapt_cvb_quat_LCMS_005	mix_5	Standard	4.51	6488.589	125.000	145.49
6	6	synapt_cvb_quat_LCMS_006	mix_6	Standard	4.51	12458.951	250.000	279.74
7	7	synapt_cvb_quat_LCMS_007	mix_7	Standard	4.51	21278.107	500.000	478.03
8	8	synapt_cvb_quat_LCMS_008	mix_8	Standard	4.53	31938.641	750.000	717.73
9	9	synapt_cvb_quat_LCMS_009	vial 1 quaternary	Analyte				
10	10	synapt_cvb_quat_LCMS_010	vial 2 quaternary	Analyte				
11	11	synapt_cvb_quat_LCMS_011	vial 3 quaternary	Analyte	4.51	5234.669		117.30
12	12	synapt_cvb_quat_LCMS_012	vial 4 quaternary	Analyte	4.51	5148.387		115.36
13	13	synapt_cvb_quat_LCMS_013	vial 5 quaternary	Analyte	4.51	4991.214		111.82
14	14	synapt_cvb_quat_LCMS_014	vial 6 quaternary	Analyte	4.51	4810.939		107.77
15	15	synapt_cvb_quat_LCMS_015	vial 7 quaternary	Analyte	4.50	4731.058		105.97
16	16	synapt_cvb_quat_LCMS_016	vial 8 quaternary	Analyte	4.51	6668.600		149.54
17	17	synapt_cvb_quat_LCMS_017	vial 9 quaternary	Analyte	4.51	6374.303		142.92
18	18	synapt_cvb_quat_LCMS_018	vial 10 quaternary	Analyte				

Compound 7:  corylifol A

	#	Name	Sample Text	Type	RT	Area	Std. Conc	pg on column
1	1	synapt_cvb_quat_LCMS_001	mix_1	Standard	6.59	375.124	10.000	6.90
2	2	synapt_cvb_quat_LCMS_002	mix_2	Standard	6.59	849.000	20.000	21.69
3	3	synapt_cvb_quat_LCMS_003	mix_3	Standard	6.59	1815.196	41.000	51.86
4	4	synapt_cvb_quat_LCMS_004	mix_4	Standard	6.59	3479.038	81.000	103.82
5	5	synapt_cvb_quat_LCMS_005	mix_5	Standard	6.59	6480.221	161.000	197.53
6	6	synapt_cvb_quat_LCMS_006	mix_6	Standard	6.59	11026.134	312.000	339.48
7	7	synapt_cvb_quat_LCMS_007	mix_7	Standard	6.59	17086.064	625.000	528.71
8	8	synapt_cvb_quat_LCMS_008	mix_8	Standard			940.000	
9	9	synapt_cvb_quat_LCMS_009	vial 1 quaternary	Analyte				
10	10	synapt_cvb_quat_LCMS_010	vial 2 quaternary	Analyte				
11	11	synapt_cvb_quat_LCMS_011	vial 3 quaternary	Analyte	6.59	1854.331		53.09
12	12	synapt_cvb_quat_LCMS_012	vial 4 quaternary	Analyte	6.59	1840.330		52.65
13	13	synapt_cvb_quat_LCMS_013	vial 5 quaternary	Analyte	6.59	1734.610		49.35
14	14	synapt_cvb_quat_LCMS_014	vial 6 quaternary	Analyte	6.59	1716.368		48.78
15	15	synapt_cvb_quat_LCMS_015	vial 7 quaternary	Analyte	6.59	1653.616		46.82
16	16	synapt_cvb_quat_LCMS_016	vial 8 quaternary	Analyte	6.59	2618.469		76.95
17	17	synapt_cvb_quat_LCMS_017	vial 9 quaternary	Analyte	6.59	2582.919		75.84
18	18	synapt_cvb_quat_LCMS_018	vial 10 quaternary	Analyte				

Compound 8:  formononetin

	#	Name	Sample Text	Type	RT	Area	Std. Conc	pg on column
1	1	synapt_cvb_quat_LCMS_001	mix_1	Standard	3.98	93.501	7.000	5.55
2	2	synapt_cvb_quat_LCMS_002	mix_2	Standard	3.99	285.810	15.000	13.03
3	3	synapt_cvb_quat_LCMS_003	mix_3	Standard	3.99	747.531	30.000	30.97
4	4	synapt_cvb_quat_LCMS_004	mix_4	Standard	3.98	1592.396	75.000	63.81
5	5	synapt_cvb_quat_LCMS_005	mix_5	Standard	3.98	3562.618	125.000	140.39
6	6	synapt_cvb_quat_LCMS_006	mix_6	Standard	3.98	7080.589	250.000	277.13
7	7	synapt_cvb_quat_LCMS_007	mix_7	Standard	3.98	12348.684	500.000	481.88
8	8	synapt_cvb_quat_LCMS_008	mix_8	Standard	4.00	18969.920	750.000	739.24
9	9	synapt_cvb_quat_LCMS_009	vial 1 quaternary	Analyte				
10	10	synapt_cvb_quat_LCMS_010	vial 2 quaternary	Analyte				
11	11	synapt_cvb_quat_LCMS_011	vial 3 quaternary	Analyte	3.99	102.334		5.90
12	12	synapt_cvb_quat_LCMS_012	vial 4 quaternary	Analyte	3.98	106.393		6.05
13	13	synapt_cvb_quat_LCMS_013	vial 5 quaternary	Analyte	3.98	106.762		6.07
14	14	synapt_cvb_quat_LCMS_014	vial 6 quaternary	Analyte	3.98	107.988		6.12
15	15	synapt_cvb_quat_LCMS_015	vial 7 quaternary	Analyte	3.98	88.698		5.37
16	16	synapt_cvb_quat_LCMS_016	vial 8 quaternary	Analyte	3.98	3236.911		127.73
17	17	synapt_cvb_quat_LCMS_017	vial 9 quaternary	Analyte	3.98	2988.003		118.06
18	18	synapt_cvb_quat_LCMS_018	vial 10 quaternary	Analyte				

Compound 9:  baicalein

	#	Name	Sample Text	Type	RT	Area	Std. Conc	pg on column
1	1	synapt_cvb_quat_LCMS_001	mix_1	Standard			7.000	
2	2	synapt_cvb_quat_LCMS_002	mix_2	Standard			15.000	
3	3	synapt_cvb_quat_LCMS_003	mix_3	Standard			30.000	
4	4	synapt_cvb_quat_LCMS_004	mix_4	Standard	3.76	32.230	75.000	51.52
5	5	synapt_cvb_quat_LCMS_005	mix_5	Standard	3.76	114.066	125.000	102.59
6	6	synapt_cvb_quat_LCMS_006	mix_6	Standard	3.75	337.136	250.000	241.82
7	7	synapt_cvb_quat_LCMS_007	mix_7	Standard	3.75	833.186	500.000	551.42
8	8	synapt_cvb_quat_LCMS_008	mix_8	Standard	3.77	1155.598	750.000	752.65
9	9	synapt_cvb_quat_LCMS_009	vial 1 quaternary	Analyte				
10	10	synapt_cvb_quat_LCMS_010	vial 2 quaternary	Analyte				
11	11	synapt_cvb_quat_LCMS_011	vial 3 quaternary	Analyte				
12	12	synapt_cvb_quat_LCMS_012	vial 4 quaternary	Analyte				
13	13	synapt_cvb_quat_LCMS_013	vial 5 quaternary	Analyte				
14	14	synapt_cvb_quat_LCMS_014	vial 6 quaternary	Analyte				
15	15	synapt_cvb_quat_LCMS_015	vial 7 quaternary	Analyte				
16	16	synapt_cvb_quat_LCMS_016	vial 8 quaternary	Analyte	3.75	111.127		100.76
17	17	synapt_cvb_quat_LCMS_017	vial 9 quaternary	Analyte	3.75	105.704		97.38
18	18	synapt_cvb_quat_LCMS_018	vial 10 quaternary	Analyte				

Compound 10:  naringenin

	#	Name	Sample Text	Type	RT	Area	Std. Conc	pg on column
1	1	synapt_cvb_quat_LCMS_001	mix_1	Standard	3.34	69.371	7.000	7.20
2	2	synapt_cvb_quat_LCMS_002	mix_2	Standard	3.34	125.606	15.000	10.61
3	3	synapt_cvb_quat_LCMS_003	mix_3	Standard	3.33	395.137	30.000	26.94
4	4	synapt_cvb_quat_LCMS_004	mix_4	Standard	3.33	947.532	75.000	60.42
5	5	synapt_cvb_quat_LCMS_005	mix_5	Standard	3.33	2182.328	125.000	135.25
6	6	synapt_cvb_quat_LCMS_006	mix_6	Standard	3.33	4377.479	250.000	268.29
7	7	synapt_cvb_quat_LCMS_007	mix_7	Standard	3.33	7871.505	500.000	480.04
8	8	synapt_cvb_quat_LCMS_008	mix_8	Standard	3.37	12544.406	750.000	763.24
9	9	synapt_cvb_quat_LCMS_009	vial 1 quaternary	Analyte				
10	10	synapt_cvb_quat_LCMS_010	vial 2 quaternary	Analyte				
11	11	synapt_cvb_quat_LCMS_011	vial 3 quaternary	Analyte	3.34	1962.739		121.95
12	12	synapt_cvb_quat_LCMS_012	vial 4 quaternary	Analyte	3.33	1887.804		117.40
13	13	synapt_cvb_quat_LCMS_013	vial 5 quaternary	Analyte	3.33	1817.901		113.17
14	14	synapt_cvb_quat_LCMS_014	vial 6 quaternary	Analyte	3.33	1774.789		110.56
15	15	synapt_cvb_quat_LCMS_015	vial 7 quaternary	Analyte	3.33	1681.999		104.93
16	16	synapt_cvb_quat_LCMS_016	vial 8 quaternary	Analyte	3.33	1906.629		118.55
17	17	synapt_cvb_quat_LCMS_017	vial 9 quaternary	Analyte	3.33	1789.749		111.46
18	18	synapt_cvb_quat_LCMS_018	vial 10 quaternary	Analyte				

Compound 11:  acacetin

	#	Name	Sample Text	Type	RT	Area	Std. Conc	pg on column
1	1	synapt_cvb_quat_LCMS_001	mix_1	Standard	4.62	74.169	7.000	7.82
2	2	synapt_cvb_quat_LCMS_002	mix_2	Standard	4.61	121.378	15.000	9.65
3	3	synapt_cvb_quat_LCMS_003	mix_3	Standard	4.61	427.483	30.000	21.56
4	4	synapt_cvb_quat_LCMS_004	mix_4	Standard	4.62	1211.397	75.000	52.04
5	5	synapt_cvb_quat_LCMS_005	mix_5	Standard	4.61	3043.683	125.000	123.30
6	6	synapt_cvb_quat_LCMS_006	mix_6	Standard	4.61	7109.161	250.000	281.40
7	7	synapt_cvb_quat_LCMS_007	mix_7	Standard	4.61	12826.779	500.000	503.75
8	8	synapt_cvb_quat_LCMS_008	mix_8	Standard	4.63	19223.135	750.000	752.49
9	9	synapt_cvb_quat_LCMS_009	vial 1 quaternary	Analyte	4.62	160.151		11.16
10	10	synapt_cvb_quat_LCMS_010	vial 2 quaternary	Analyte	4.61	331.932		17.84
11	11	synapt_cvb_quat_LCMS_011	vial 3 quaternary	Analyte	4.61	2533.611		103.46
12	12	synapt_cvb_quat_LCMS_012	vial 4 quaternary	Analyte	4.61	2491.546		101.82
13	13	synapt_cvb_quat_LCMS_013	vial 5 quaternary	Analyte	4.61	2488.738		101.72
14	14	synapt_cvb_quat_LCMS_014	vial 6 quaternary	Analyte	4.61	2234.043		91.81
15	15	synapt_cvb_quat_LCMS_015	vial 7 quaternary	Analyte	4.61	2203.919		90.64
16	16	synapt_cvb_quat_LCMS_016	vial 8 quaternary	Analyte	4.61	3219.114		130.12
17	17	synapt_cvb_quat_LCMS_017	vial 9 quaternary	Analyte	4.61	3100.247		125.50
18	18	synapt_cvb_quat_LCMS_018	vial 10 quaternary	Analyte	4.61	168.266		11.48

Compound 12:  scutellarein

	#	Name	Sample Text	Type	RT	Area	Std. Conc	pg on column
1	1	synapt_cvb_quat_LCMS_001	mix_1	Standard			7.000	
2	2	synapt_cvb_quat_LCMS_002	mix_2	Standard			15.000	
3	3	synapt_cvb_quat_LCMS_003	mix_3	Standard			30.000	
4	4	synapt_cvb_quat_LCMS_004	mix_4	Standard	2.55	6.693	75.000	64.43
5	5	synapt_cvb_quat_LCMS_005	mix_5	Standard	2.52	10.269	125.000	81.50
6	6	synapt_cvb_quat_LCMS_006	mix_6	Standard	2.50	42.458	250.000	235.18
7	7	synapt_cvb_quat_LCMS_007	mix_7	Standard	2.51	105.274	500.000	535.09
8	8	synapt_cvb_quat_LCMS_008	mix_8	Standard	2.53	157.368	750.000	783.80
9	9	synapt_cvb_quat_LCMS_009	vial 1 quaternary	Analyte				
10	10	synapt_cvb_quat_LCMS_010	vial 2 quaternary	Analyte				
11	11	synapt_cvb_quat_LCMS_011	vial 3 quaternary	Analyte	2.49	12.198		90.71
12	12	synapt_cvb_quat_LCMS_012	vial 4 quaternary	Analyte	2.50	11.316		86.50
13	13	synapt_cvb_quat_LCMS_013	vial 5 quaternary	Analyte	2.51	9.832		79.41
14	14	synapt_cvb_quat_LCMS_014	vial 6 quaternary	Analyte	2.51	14.668		102.50
15	15	synapt_cvb_quat_LCMS_015	vial 7 quaternary	Analyte	2.51	17.299		115.06
16	16	synapt_cvb_quat_LCMS_016	vial 8 quaternary	Analyte	2.50	23.444		144.40
17	17	synapt_cvb_quat_LCMS_017	vial 9 quaternary	Analyte	2.50	15.505		106.50
18	18	synapt_cvb_quat_LCMS_018	vial 10 quaternary	Analyte				

Compound 13:  morusin

	#	Name	Sample Text	Type	RT	Area	Std. Conc	pg on column
1	1	synapt_cvb_quat_LCMS_001	mix_1	Standard	7.04	380.860	7.000	0.97
2	2	synapt_cvb_quat_LCMS_002	mix_2	Standard	7.04	730.864	15.000	17.27
3	3	synapt_cvb_quat_LCMS_003	mix_3	Standard	7.04	1751.519	30.000	64.79
4	4	synapt_cvb_quat_LCMS_004	mix_4	Standard	7.04	3256.588	75.000	134.87
5	5	synapt_cvb_quat_LCMS_005	mix_5	Standard	7.04	6004.154	125.000	262.81
6	6	synapt_cvb_quat_LCMS_006	mix_6	Standard	7.04	8767.106	250.000	391.46
7	7	synapt_cvb_quat_LCMS_007	mix_7	Standard	7.04	10171.854	500.000	456.86
8	8	synapt_cvb_quat_LCMS_008	mix_8	Standard	7.06	9443.844	750.000	422.97
9	9	synapt_cvb_quat_LCMS_009	vial 1 quaternary	Analyte				
10	10	synapt_cvb_quat_LCMS_010	vial 2 quaternary	Analyte				
11	11	synapt_cvb_quat_LCMS_011	vial 3 quaternary	Analyte				
12	12	synapt_cvb_quat_LCMS_012	vial 4 quaternary	Analyte				
13	13	synapt_cvb_quat_LCMS_013	vial 5 quaternary	Analyte				
14	14	synapt_cvb_quat_LCMS_014	vial 6 quaternary	Analyte				
15	15	synapt_cvb_quat_LCMS_015	vial 7 quaternary	Analyte				
16	16	synapt_cvb_quat_LCMS_016	vial 8 quaternary	Analyte				
17	17	synapt_cvb_quat_LCMS_017	vial 9 quaternary	Analyte				
18	18	synapt_cvb_quat_LCMS_018	vial 10 quaternary	Analyte				

Compound 14:  eriodictyol

	#	Name	Sample Text	Type	RT	Area	Std. Conc	pg on column
1	1	synapt_cvb_quat_LCMS_001	mix_1	Standard			7.000	
2	2	synapt_cvb_quat_LCMS_002	mix_2	Standard			15.000	
3	3	synapt_cvb_quat_LCMS_003	mix_3	Standard	2.82	40.271	30.000	30.86
4	4	synapt_cvb_quat_LCMS_004	mix_4	Standard	2.82	98.291	75.000	46.06
5	5	synapt_cvb_quat_LCMS_005	mix_5	Standard	2.82	247.997	125.000	85.27
6	6	synapt_cvb_quat_LCMS_006	mix_6	Standard	2.82	728.860	250.000	211.23
7	7	synapt_cvb_quat_LCMS_007	mix_7	Standard	2.82	1892.899	500.000	516.13
8	8	synapt_cvb_quat_LCMS_008	mix_8	Standard	2.85	3131.082	750.000	840.45
9	9	synapt_cvb_quat_LCMS_009	vial 1 quaternary	Analyte				
10	10	synapt_cvb_quat_LCMS_010	vial 2 quaternary	Analyte				
11	11	synapt_cvb_quat_LCMS_011	vial 3 quaternary	Analyte				
12	12	synapt_cvb_quat_LCMS_012	vial 4 quaternary	Analyte				
13	13	synapt_cvb_quat_LCMS_013	vial 5 quaternary	Analyte				
14	14	synapt_cvb_quat_LCMS_014	vial 6 quaternary	Analyte				
15	15	synapt_cvb_quat_LCMS_015	vial 7 quaternary	Analyte				
16	16	synapt_cvb_quat_LCMS_016	vial 8 quaternary	Analyte	2.82	2841.507		764.60
17	17	synapt_cvb_quat_LCMS_017	vial 9 quaternary	Analyte	2.82	2716.554		731.87
18	18	synapt_cvb_quat_LCMS_018	vial 10 quaternary	Analyte				

Compound 15:  epicatechin

	#	Name	Sample Text	Type	RT	Area	Std. Conc	pg on column
1	1	synapt_cvb_quat_LCMS_001	mix_1	Standard			7.000	
2	2	synapt_cvb_quat_LCMS_002	mix_2	Standard			15.000	
3	3	synapt_cvb_quat_LCMS_003	mix_3	Standard			30.000	
4	4	synapt_cvb_quat_LCMS_004	mix_4	Standard	1.26	55.755	75.000	54.33
5	5	synapt_cvb_quat_LCMS_005	mix_5	Standard	1.26	221.237	125.000	98.53
6	6	synapt_cvb_quat_LCMS_006	mix_6	Standard	1.26	631.872	250.000	208.20
7	7	synapt_cvb_quat_LCMS_007	mix_7	Standard	1.27	1780.989	500.000	515.10
8	8	synapt_cvb_quat_LCMS_008	mix_8	Standard	1.29	2936.972	750.000	823.84
9	9	synapt_cvb_quat_LCMS_009	vial 1 quaternary	Analyte				
10	10	synapt_cvb_quat_LCMS_010	vial 2 quaternary	Analyte				
11	11	synapt_cvb_quat_LCMS_011	vial 3 quaternary	Analyte				
12	12	synapt_cvb_quat_LCMS_012	vial 4 quaternary	Analyte				
13	13	synapt_cvb_quat_LCMS_013	vial 5 quaternary	Analyte				
14	14	synapt_cvb_quat_LCMS_014	vial 6 quaternary	Analyte				
15	15	synapt_cvb_quat_LCMS_015	vial 7 quaternary	Analyte				
16	16	synapt_cvb_quat_LCMS_016	vial 8 quaternary	Analyte	1.27	2094.771		598.91
17	17	synapt_cvb_quat_LCMS_017	vial 9 quaternary	Analyte	1.27	2087.782		597.04
18	18	synapt_cvb_quat_LCMS_018	vial 10 quaternary	Analyte				

Compound 16:  tectorigenin

	#	Name	Sample Text	Type	RT	Area	Std. Conc	pg on column
1	1	synapt_cvb_quat_LCMS_001	mix_1	Standard			7.000	
2	2	synapt_cvb_quat_LCMS_002	mix_2	Standard	3.40	115.578	15.000	13.76
3	3	synapt_cvb_quat_LCMS_003	mix_3	Standard	3.40	295.455	30.000	27.31
4	4	synapt_cvb_quat_LCMS_004	mix_4	Standard	3.40	669.102	75.000	55.44
5	5	synapt_cvb_quat_LCMS_005	mix_5	Standard	3.40	1623.659	125.000	127.32
6	6	synapt_cvb_quat_LCMS_006	mix_6	Standard	3.40	3548.895	250.000	272.28
7	7	synapt_cvb_quat_LCMS_007	mix_7	Standard	3.40	6367.261	500.000	484.49
8	8	synapt_cvb_quat_LCMS_008	mix_8	Standard	3.42	10084.717	750.000	764.40
9	9	synapt_cvb_quat_LCMS_009	vial 1 quaternary	Analyte				
10	10	synapt_cvb_quat_LCMS_010	vial 2 quaternary	Analyte				
11	11	synapt_cvb_quat_LCMS_011	vial 3 quaternary	Analyte				
12	12	synapt_cvb_quat_LCMS_012	vial 4 quaternary	Analyte				
13	13	synapt_cvb_quat_LCMS_013	vial 5 quaternary	Analyte				
14	14	synapt_cvb_quat_LCMS_014	vial 6 quaternary	Analyte				
15	15	synapt_cvb_quat_LCMS_015	vial 7 quaternary	Analyte				
16	16	synapt_cvb_quat_LCMS_016	vial 8 quaternary	Analyte	3.39	8504.422		645.41
17	17	synapt_cvb_quat_LCMS_017	vial 9 quaternary	Analyte	3.39	7940.888		602.98
18	18	synapt_cvb_quat_LCMS_018	vial 10 quaternary	Analyte				

Compound 17:  eupatilin

	#	Name	Sample Text	Type	RT	Area	Std. Conc	pg on column
1	1	synapt_cvb_quat_LCMS_001	mix_1	Standard			7.000	
2	2	synapt_cvb_quat_LCMS_002	mix_2	Standard	4.25	105.912	15.000	13.51
3	3	synapt_cvb_quat_LCMS_003	mix_3	Standard	4.24	349.558	30.000	25.26
4	4	synapt_cvb_quat_LCMS_004	mix_4	Standard	4.24	791.741	75.000	46.59
5	5	synapt_cvb_quat_LCMS_005	mix_5	Standard	4.24	2323.057	125.000	120.45
6	6	synapt_cvb_quat_LCMS_006	mix_6	Standard	4.24	5428.829	250.000	270.26
7	7	synapt_cvb_quat_LCMS_007	mix_7	Standard	4.24	10396.618	500.000	509.89
8	8	synapt_cvb_quat_LCMS_008	mix_8	Standard	4.26	15561.802	750.000	759.04
9	9	synapt_cvb_quat_LCMS_009	vial 1 quaternary	Analyte				
10	10	synapt_cvb_quat_LCMS_010	vial 2 quaternary	Analyte				
